Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"Lake Holiday CDP, Illinois",41157,17,5581,83703,34593,5.9,22.1,1035,47.9,97.2,2.4,0.4,0.3,0.0,1.6,2.5,94.4,1.1,2290,1824,202800,1675,710,1880,2033,2.75,92.9,2.9,93.8,92.0,96.4,20.8,6.9,2.2,62.9,52.3,39.1,11.7
"Lake in the Hills village, Illinois",41183,17,29024,102106,40505,6.5,27.0,2662,51.1,88.7,4.5,0.3,7.6,0.0,6.0,15.9,73.0,12.3,10082,8340,247400,1906,932,1572,9912,2.93,90.8,19.4,98.6,97.6,96.3,38.8,6.1,4.4,75.9,70.8,33.6,3.1
"Lake Ka-Ho village, Illinois",41214,17,273,40250,23081,0.7,13.9,37,42.9,100.0,0.0,1.1,0.0,0.0,1.1,2.2,96.7,0.0,164,101,58800,753,336,800,127,2.15,85.7,0.0,89.8,74.8,81.2,5.6,24.2,13.9,43.4,41.1,25.8,21.2
"Lakemoor village, Illinois",41326,17,5816,90000,41168,8.4,22.7,434,44.5,88.5,0.9,0.4,9.3,0.0,2.4,5.5,85.3,7.8,2410,1403,212800,1919,687,1430,2242,2.59,86.1,11.6,97.1,96.0,94.4,41.4,7.7,3.0,71.5,68.4,33.8,6.1
"Lake of the Woods CDP, Illinois",41346,17,2297,62432,28840,8.1,32.2,421,42.5,99.0,1.3,0.0,0.0,0.0,1.3,1.9,96.8,1.0,859,737,165400,1554,567,1035,859,2.67,92.8,1.1,95.7,91.4,98.2,39.4,8.1,6.5,71.3,65.6,20.9,8.8
"Lake Summerset CDP, Illinois",41456,17,2323,93385,36903,0.3,26.1,572,53.6,99.7,0.0,0.0,0.3,0.0,0.0,5.1,94.7,0.9,1190,757,169500,1434,634,1041,847,2.74,97.6,1.8,98.9,96.0,98.0,24.8,10.6,1.8,58.5,53.7,41.6,4.9
"Lake Villa village, Illinois",41586,17,8741,115598,46936,4.8,27.1,964,48.6,84.0,5.6,2.0,10.4,0.4,8.7,13.3,71.4,13.0,3045,2065,279400,2632,1156,1227,3026,2.87,86.0,19.2,96.7,94.7,96.0,44.0,8.1,5.6,70.4,62.0,33.6,3.1
"Lakewood Shores CDP, Illinois",41716,17,561,68250,29660,1.8,25.5,80,40.1,98.9,1.1,0.0,0.0,0.0,0.0,0.0,98.9,0.0,267,162,155900,1263,430,1458,222,2.53,95.2,0.7,100.0,95.9,100.0,4.8,3.6,6.6,59.1,59.4,28.1,17.1
"Lake Zurich village, Illinois",41742,17,19807,118139,53169,5.6,22.9,2505,50.8,90.2,1.2,0.4,9.9,0.0,3.7,3.9,84.5,16.2,7414,5712,351600,2469,977,1673,7105,2.76,90.5,20.3,97.5,96.7,97.0,55.3,3.8,2.8,74.2,69.2,30.3,3.8
"La Moille village, Illinois",41794,17,751,59167,28605,3.2,24.2,121,50.2,96.3,2.3,2.0,1.9,0.0,4.3,3.5,92.3,1.5,289,214,95000,939,546,662,268,2.80,92.0,3.2,95.5,92.2,89.9,14.8,6.3,2.1,73.7,65.5,21.4,1.9
